name,age,nationality,club,overall,potential,valueEuros,weakFoot,skillMoves,position,pace,shooting,passing,dribbling,defending,physical
K. Lawrence,26,Jamaica,New York Red Bulls,74,77,6000000,3,3,LB,88,44,59,69,71,79
Hélder Costa,25,Portugal,Leeds United,74,77,7000000,3,4,SUB,85,67,68,78,30,59
Ivi,25,Spain,SD Huesca,74,77,7000000,3,3,SUB,78,74,70,76,43,61
K. Dolly,26,South Africa,Montpellier HSC,74,77,7000000,4,3,SUB,78,69,72,76,36,52
J. Gallardo,24,Mexico,Monterrey,74,77,7000000,2,3,LB,78,67,69,74,66,71
A. González,25,Argentina,Estudiantes de La Plata,74,77,7000000,3,3,LW,86,70,65,76,48,65
G. Cimirot,26,Bosnia Herzegovina,Standard de Liège,74,77,6500000,3,3,RCM,67,67,71,73,70,70
A. Bouzat,25,Argentina,Vélez Sarsfield,74,77,7000000,3,3,RW,92,63,67,77,57,69
A. Bălută,25,Romania,SK Slavia Praha,74,77,7000000,4,3,SUB,87,69,68,77,42,67
T. Holeš,26,Czech Republic,SK Slavia Praha,74,77,6000000,4,2,SUB,74,62,68,72,71,80
Daniel Ayala,28,Spain,Middlesbrough,74,76,5500000,3,2,RCB,66,41,52,65,74,78
J. Bruma,27,Netherlands,VfL Wolfsburg,74,76,6000000,3,2,RES,59,53,59,57,72,80
K. Babacar,26,Senegal,Sassuolo,74,76,7000000,3,3,SUB,68,72,55,72,35,69
Jordi Amat,27,Spain,KAS Eupen,74,76,6000000,3,2,RDM,65,48,53,57,73,77
G. Trauner,27,Austria,LASK Linz,74,76,6000000,3,2,CB,66,57,61,62,71,85
A. Cornelius,26,Denmark,Parma,74,76,7000000,3,3,SUB,64,73,55,66,39,81
E. Dilaver,28,Austria,Dinamo Zagreb,74,76,5500000,3,2,LCB,71,46,59,61,74,76
J. Ralls,25,England,Cardiff City,74,76,7000000,2,3,LDM,64,68,73,72,68,66
Rubén Pardo,26,Spain,Real Sociedad,74,76,6500000,4,3,SUB,61,68,74,72,62,55
R. Fredericks,26,England,West Ham United,74,76,6000000,3,3,RB,92,51,66,73,69,69
K. Roofe,26,England,RSC Anderlecht,74,76,7000000,4,3,SUB,80,73,66,73,50,70
S. Falette,27,Guinea,Eintracht Frankfurt,74,76,6000000,3,2,SUB,67,44,44,46,73,83
L. Vietto,25,Argentina,Sporting CP,74,76,7000000,3,3,SUB,76,73,68,76,43,61
F. Helander,26,Sweden,Rangers FC,74,76,6000000,1,2,SUB,47,33,44,53,76,74
D. Dessoleil,26,Belgium,Sporting de Charleroi,74,76,6000000,3,2,LCB,54,46,52,47,75,76
T. Letschert,26,Netherlands,Hamburger SV,74,76,6000000,2,2,RES,62,58,64,61,72,77
J. van Overeem,25,Netherlands,FC Utrecht,74,76,7000000,3,3,SUB,70,62,72,76,61,59
João Schmidt,26,Brazil,Nagoya Grampus,74,76,6500000,3,3,LCM,54,67,74,71,68,73
Diego Rico,26,Spain,Bournemouth,74,76,6000000,2,3,RES,72,58,69,67,73,73
C. González,26,Paraguay,U.N.A.M.,74,76,7000000,3,3,ST,65,74,53,67,34,71
B. Valdez,26,Paraguay,Club América,74,76,6000000,3,2,RCB,65,36,55,53,72,78
Maurício,27,Brazil,Urawa Red Diamonds,74,76,6000000,3,2,CB,63,43,54,51,72,78
João Victor,25,Brazil,VfL Wolfsburg,74,76,7000000,5,4,LF,88,73,66,74,31,58
D. Saba,26,Israel,Guangzhou R&F FC,74,76,7000000,4,3,ST,88,67,69,76,29,59
L. Cooper,27,Scotland,Leeds United,74,75,5500000,2,2,LCB,51,35,54,58,74,77
F. Đuričić,27,Serbia,Sassuolo,74,75,6500000,4,4,SUB,73,65,72,77,42,57
L. Crisetig,26,Italy,Bologna,74,75,6500000,3,3,RES,49,51,72,72,69,73
S. Bell,27,Germany,1. FSV Mainz 05,74,75,5500000,2,2,RES,48,38,53,49,76,75
T. Sainsbury,27,Australia,PSV,74,75,5500000,3,2,SUB,74,48,62,58,76,73
E. Sviatchenko,27,Denmark,FC Midtjylland,74,75,5500000,3,2,CB,58,50,58,55,73,78
S. Kittel,26,Germany,Hamburger SV,74,75,6500000,5,4,LM,75,69,73,78,34,56
G. Shinnie,27,Scotland,Derby County,74,75,6000000,4,3,SUB,77,42,68,69,71,79
J. Schlupp,26,Ghana,Crystal Palace,74,75,6500000,2,3,SUB,86,67,66,73,69,75
F. Viviani,27,Italy,SPAL,74,75,6000000,4,3,CDM,63,70,75,75,71,69
O. Hiljemark,27,Sweden,Genoa,74,75,6500000,3,3,SUB,65,61,73,72,63,74
D. Foulquier,26,France,Watford,74,75,6500000,3,3,RES,73,60,68,75,72,73
F. Hübner,28,Germany,1. FC Union Berlin,74,75,5500000,3,2,SUB,53,43,48,44,77,72
S. Bahoken,27,Cameroon,Angers SCO,74,75,6500000,3,3,ST,80,72,57,71,24,71
T. Delaine,27,France,FC Metz,74,75,5500000,5,3,LB,83,50,71,73,67,78
Jairo,25,Spain,Hamburger SV,74,75,6500000,4,3,SUB,84,66,68,78,30,55
A. Ciciretti,25,Italy,Napoli,74,75,6500000,4,4,RES,77,68,73,75,35,49
J. Ferri,27,France,Montpellier HSC,74,75,6500000,2,3,RCM,64,67,71,73,66,74
J. Damm,26,Mexico,Tigres U.A.N.L.,74,75,6500000,3,3,SUB,94,63,65,74,43,70
E. Durm,27,Germany,Eintracht Frankfurt,74,75,5500000,3,3,SUB,76,53,65,68,72,70
J. Ramírez,26,Argentina,San Lorenzo de Almagro,74,75,6500000,3,3,SUB,76,69,72,78,65,64
F. Zuqui,27,Argentina,Club Atlético Colón,74,75,6500000,3,3,RCM,70,64,72,75,65,70
C. Lema,29,Argentina,Newell's Old Boys,74,75,5500000,2,2,RCB,33,47,54,38,74,81
Álvaro García,26,Spain,Rayo Vallecano,74,75,6500000,3,3,LM,93,65,66,73,30,45
Carlos Mané,25,Portugal,Rio Ave FC,74,75,6500000,3,4,SUB,82,71,67,79,41,48
S. Adamyan,26,Armenia,TSG 1899 Hoffenheim,74,75,6500000,3,4,SUB,76,73,64,76,37,70
T. Hlatshwayo,29,South Africa,South Africa,74,75,0,3,2,,60,29,48,35,76,73
A. Romero,26,Paraguay,San Lorenzo de Almagro,74,75,6500000,3,3,SUB,78,71,59,75,24,69
Z. Ferhat,26,Algeria,Nîmes Olympique,74,75,6500000,4,4,RM,81,57,73,73,27,64
H. Martín,26,Mexico,Club América,74,75,6500000,3,3,SUB,76,71,65,74,38,70
T. Goiginger,26,Austria,LASK Linz,74,75,6500000,3,4,RW,88,67,72,73,35,64
Fábio Martins,25,Portugal,Famalicão,74,75,6500000,3,4,LM,76,73,70,80,46,65
G. Ferrari,27,Italy,Sassuolo,74,75,5500000,3,2,LCB,55,27,39,48,76,71
M. Trauco,26,Peru,AS Saint-Étienne,74,75,5500000,3,3,LB,68,49,73,75,71,79
J. Zmrhal,25,Czech Republic,Brescia,74,75,6500000,3,3,SUB,81,70,71,72,58,66
G. Blanco Leschuk,27,Argentina,Shakhtar Donetsk,74,75,6500000,3,2,SUB,68,74,47,62,36,79
Felipe,34,Brazil,SPAL,74,74,2100000,3,2,LCB,34,35,51,52,78,59
Tarantini,35,Portugal,Rio Ave FC,74,74,2400000,3,3,RCM,47,68,71,70,72,68
R. Nuzzolo,35,Switzerland,Neuchâtel Xamax,74,74,2600000,4,3,LS,73,76,74,74,41,66
Ricardo Costa,38,Portugal,Boavista FC,74,74,1100000,3,2,RCB,41,37,47,52,74,73
M. Rodríguez,38,Argentina,Newell's Old Boys,74,74,1900000,4,4,LW,67,75,75,75,44,66
R. Hubník,35,Czech Republic,Viktoria Plzeň,74,74,1700000,3,2,LCB,64,53,60,56,71,76
F. Belluschi,35,Argentina,San Lorenzo de Almagro,74,74,2500000,4,4,RCM,55,74,76,73,65,64
C. Maggio,37,Italy,Benevento,74,74,1000000,2,3,RB,70,69,69,72,72,77
F. Magnanelli,34,Italy,Sassuolo,74,74,2200000,3,2,CDM,62,55,68,62,76,68
S. Davis,34,Northern Ireland,Rangers FC,74,74,2700000,3,3,CM,54,61,75,74,63,63
A. Lennon,32,England,Burnley,74,74,4400000,3,3,SUB,79,63,69,79,49,58
I. Afellay,33,Netherlands,PSV,74,74,3400000,4,4,SUB,68,69,75,77,54,57
O. Peralta,35,Mexico,Guadalajara,74,74,2600000,4,3,RS,68,72,66,72,41,74
W. Janssen,32,Netherlands,FC Utrecht,74,74,3600000,4,2,RCB,40,64,69,68,72,75
G. İnler,35,Switzerland,Medipol Başakşehir FK,74,74,1800000,5,2,LDM,41,66,72,69,73,70
Jurado,33,Spain,Cádiz CF,74,74,3400000,4,4,CAM,64,72,75,75,32,55
B. Sharp,33,England,Sheffield United,74,74,3500000,3,2,SUB,58,74,62,64,42,68
D. Limberský,35,Czech Republic,Viktoria Plzeň,74,74,1600000,3,3,LB,75,63,70,71,73,77
C. Davies,34,England,Derby County,74,74,2100000,3,2,SUB,52,38,46,53,75,71
S. Larsson,34,Sweden,AIK,74,74,2700000,3,3,RCM,55,69,77,68,66,72
S. M'Bia,33,Cameroon,Wuhan Zall,74,74,2700000,3,2,CB,68,62,66,66,74,81
R. Vlaar,34,Netherlands,AZ Alkmaar,74,74,2100000,4,2,RCB,31,57,57,52,75,77
S. Sinclair,30,England,Celtic,74,74,5500000,4,4,SUB,88,72,65,76,41,65
S. Long,32,Republic of Ireland,Southampton,74,74,4500000,2,3,SUB,80,72,61,71,36,69
A. Ulmer,33,Austria,FC Red Bull Salzburg,74,74,2500000,3,3,LB,69,62,70,71,70,74
F. Bastians,31,Germany,Tianjin TEDA FC,74,74,4200000,3,2,SUB,61,60,68,57,75,77
P. Aguilar,33,Mexico,Club América,74,74,2500000,3,3,RB,82,63,68,69,70,75
P. Mouche,31,Argentina,Colo-Colo,74,74,4900000,4,3,LW,77,70,70,74,27,64
M. Sow,33,Senegal,Gazişehir Gaziantep F.K.,74,74,3500000,4,3,SUB,77,73,66,73,34,74
P. Hetemaj,32,Finland,Chievo Verona,74,74,4300000,4,3,LCM,75,64,73,73,70,77
Crespo,32,Spain,PAOK,74,74,3600000,3,2,RCB,69,39,64,61,73,75
O. Trejo,31,Argentina,Rayo Vallecano,74,74,4800000,4,4,RCM,70,71,72,78,65,74
L. Cigarini,33,Italy,Cagliari,74,74,3300000,4,3,CM,57,66,78,73,67,61
L. Antonelli,32,Italy,Empoli,74,74,3500000,3,3,LB,71,58,69,72,76,72
Joselu,29,Spain,Deportivo Alavés,74,74,5500000,3,3,LS,54,73,64,69,30,67
Baiano,32,Brazil,Alanyaspor,74,74,3500000,2,3,SUB,76,61,62,74,72,73
K. Kamara,34,Sierra Leone,Colorado Rapids,74,74,3000000,3,3,ST,73,72,61,70,35,78
M. Erdinç,32,Turkey,Medipol Başakşehir FK,74,74,4500000,3,3,RES,69,75,64,70,44,74
S. Missiroli,33,Italy,SPAL,74,74,3300000,3,3,RCM,61,65,73,71,68,63
F. González,32,Argentina,Estudiantes de La Plata,74,74,4500000,3,3,ST,70,74,66,74,39,74
Bojan,28,Spain,Montreal Impact,74,74,5500000,4,4,SUB,70,69,73,75,27,41
Nuno Coelho,31,Portugal,Os Belenenses,74,74,4200000,3,2,LCB,55,44,64,67,74,72
B. Jokič,33,Slovenia,Slovenia,74,74,0,3,2,,77,56,69,67,69,77
T. Reginiussen,33,Norway,Rosenborg BK,74,74,2700000,3,2,LCB,63,42,54,51,73,77
H. Medunjanin,34,Bosnia Herzegovina,Philadelphia Union,74,74,2700000,4,4,CDM,56,71,75,72,62,70
G. Svensson,32,Sweden,Seattle Sounders FC,74,74,3700000,2,3,LDM,42,45,64,64,71,80
N. Bertolo,33,Argentina,Club Atlético Banfield,74,74,3400000,3,3,LW,65,70,74,75,38,67
G. Bong,31,Cameroon,Brighton & Hove Albion,74,74,4100000,3,3,SUB,63,41,69,70,76,71
K. Grosicki,31,Poland,Hull City,74,74,4900000,3,3,LM,83,72,71,74,38,60
A. Aguilar,34,Colombia,Unión Magdalena,74,74,2200000,3,3,RDM,32,61,67,64,74,81
P. Baysse,31,France,FC Girondins de Bordeaux,74,74,4200000,3,2,RES,51,46,62,62,73,80
L. Deaux,30,France,En Avant de Guingamp,74,74,4600000,2,2,RDM,57,54,68,66,72,79
L. Christodoulopoulos,32,Greece,Olympiacos CFP,74,74,4400000,4,3,RES,73,74,72,78,52,64
Ivo,32,Brazil,Henan Jianye FC,74,74,4300000,3,3,LCM,72,65,77,73,48,66
S. Arfield,30,Canada,Rangers FC,74,74,5000000,3,3,LF,67,68,72,73,62,72
Adrián González,31,Spain,Málaga CF,74,74,4800000,3,3,LCM,65,73,72,75,71,73
R. Hennings,31,Germany,Fortuna Düsseldorf,74,74,5000000,3,3,ST,65,76,62,67,40,77
Titi,31,Brazil,Göztepe SK,74,74,4200000,3,2,LCB,32,39,44,53,76,75
H. Saivet,28,Senegal,Newcastle United,74,74,5500000,4,3,RES,68,70,74,75,64,64
A. Chedjou,34,Cameroon,Medipol Başakşehir FK,74,74,2100000,3,3,LCB,65,49,60,62,73,74
F. Frei,30,Switzerland,FC Basel 1893,74,74,4600000,3,3,RDM,65,71,75,71,72,73
B. Bannan,29,Scotland,Sheffield Wednesday,74,74,5500000,1,3,LCM,64,64,76,75,49,53
A. Bjelland,30,Denmark,FC København,74,74,4600000,3,2,LCB,43,46,63,59,73,76
N. Müller,31,Germany,Eintracht Frankfurt,74,74,4900000,3,3,RES,74,72,69,79,44,62
J. Biabiany,31,France,Parma,74,74,4900000,3,3,RES,90,65,65,77,30,63
Sergio Tejera,29,Spain,Real Oviedo,74,74,5500000,2,3,LCM,69,69,74,72,68,76
H. Arter,29,Republic of Ireland,Fulham,74,74,5500000,5,3,CDM,59,69,72,70,67,72
Fábio Pacheco,31,Portugal,Moreirense FC,74,74,4300000,3,2,CDM,67,54,69,64,74,73
J. Russell,29,Scotland,Sporting Kansas City,74,74,5500000,3,3,RW,78,73,70,75,48,77
J. Chester,30,Wales,Aston Villa,74,74,4600000,3,2,SUB,66,34,58,62,74,74
J. van der Heijden,31,Netherlands,Feyenoord,74,74,4200000,3,3,LCB,37,62,72,70,74,70
F. Navarro,30,Mexico,Club León,74,74,4400000,2,3,RB,86,58,65,70,70,65
Dentinho,30,Brazil,Shakhtar Donetsk,74,74,5500000,4,4,SUB,77,68,67,76,48,71
M. Alustiza,35,Argentina,Puebla FC,74,74,2600000,4,4,LS,70,76,69,74,35,61
Montoro,31,Spain,Granada CF,74,74,4300000,3,3,LDM,42,63,69,67,71,69
R. Halliche,32,Algeria,Moreirense FC,74,74,3600000,3,2,SUB,44,41,53,51,75,72
J. Dueñas,30,Mexico,Tigres U.A.N.L.,74,74,5000000,4,3,SUB,75,66,71,72,69,80
S. Morrison,28,England,Cardiff City,74,74,4900000,2,2,RCB,45,29,40,48,74,77
C. Zambrano,29,Peru,Peru,74,74,0,3,2,,58,48,57,66,74,73
A. Chahechouhe,32,Morocco,Antalyaspor,74,74,4400000,4,4,LM,75,72,69,76,32,60
Juanfran,30,Spain,Alanyaspor,74,74,4400000,3,3,RB,75,67,69,74,70,73
L. Balogun,31,Nigeria,Brighton & Hove Albion,74,74,4200000,3,2,SUB,57,45,60,60,74,72
B. Ecuélé Manga,30,Gabon,Dijon FCO,74,74,4600000,3,2,RCB,54,32,56,49,74,74
B. Poulain,31,France,Kayserispor,74,74,4200000,2,2,LCB,33,26,57,46,77,74
M. Valdifiori,33,Italy,SPAL,74,74,2700000,3,3,SUB,50,56,79,74,69,62
A. N'Diaye,29,Senegal,Málaga CF,74,74,5500000,3,3,SUB,71,63,71,70,71,83
Alex Bergantiños,34,Spain,Deportivo de La Coruña,74,74,2200000,2,2,RDM,44,46,63,62,74,79
B. Fornaroli,31,Uruguay,Perth Glory,74,74,5000000,4,4,RS,76,72,64,76,38,75
M. Risse,29,Germany,1. FC Köln,74,74,5500000,2,3,SUB,74,75,72,73,66,66
D. Diekmeier,29,Germany,SV Sandhausen,74,74,4600000,2,3,RB,87,39,65,65,69,74
J. Hoilett,29,Canada,Cardiff City,74,74,5500000,3,3,SUB,87,71,69,77,35,64
M. Ekici,29,Turkey,Fenerbahçe SK,74,74,5500000,5,3,SUB,65,72,75,74,54,63
J. Hušbauer,29,Czech Republic,SK Slavia Praha,74,74,5500000,4,3,CAM,63,72,76,73,58,66
Alcalá,30,Spain,Girona FC,74,74,4600000,4,2,RCB,34,48,59,52,73,77
Balenziaga,31,Spain,Athletic Club de Bilbao,74,74,4100000,4,3,SUB,75,46,68,69,72,75
S. Sunzu,30,Zambia,FC Metz,74,74,4600000,3,2,RCB,52,38,50,50,73,82
Míchel,30,Spain,Real Valladolid CF,74,74,5000000,4,3,RCM,49,66,78,73,55,55
O. Martínez,33,Paraguay,Club Atlas,74,74,3300000,4,3,LCM,63,71,73,74,58,72
Pedro Sánchez,32,Spain,Deportivo de La Coruña,74,74,4400000,3,3,SUB,83,71,71,74,38,68
I. Opara,30,United States,Minnesota United FC,74,74,4600000,2,2,RCB,84,38,52,55,71,82
M. Caruzzo,34,Argentina,Rosario Central,74,74,2100000,3,2,RCB,45,36,58,50,73,77
Sandro,30,Brazil,Genoa,74,74,4600000,3,3,RES,54,69,67,68,75,72
C. Borges,31,Costa Rica,Göztepe SK,74,74,4300000,4,3,SUB,53,74,71,68,73,74
P. Pekarík,32,Slovakia,Hertha BSC,74,74,3500000,3,2,SUB,66,37,66,74,75,65
G. Töre,27,Turkey,Yeni Malatyaspor,74,74,6000000,4,3,SUB,80,68,74,78,43,71
S. Sow,30,Mali,Nottingham Forest,74,74,4600000,3,3,SUB,65,47,66,73,72,79
A. Bedoya,32,United States,Philadelphia Union,74,74,4300000,4,3,RCM,65,65,71,71,66,73
S. Corchia,28,France,Sevilla FC,74,74,4800000,3,3,RES,70,65,73,74,75,65
G. Schennikov,28,Russia,PFC CSKA Moscow,74,74,4800000,2,3,SUB,79,54,69,70,71,71
N. Hult,29,Sweden,AEK Athens,74,74,4600000,3,3,LB,84,59,71,74,68,67
L. Sané,32,Senegal,Orlando City SC,74,74,3600000,2,2,RCB,54,44,59,60,72,76
Renatinho,30,Brazil,Tianjin Quanjian FC,74,74,5500000,3,3,RW,77,72,69,80,37,65
F. Rinaudo,32,Argentina,Rosario Central,74,74,3700000,3,3,RDM,66,64,67,70,71,76
M. Caraglio,30,Argentina,Cruz Azul,74,74,5500000,3,3,ST,46,76,61,69,27,81
E. Stevens,28,Republic of Ireland,Sheffield United,74,74,4800000,2,3,LWB,70,45,63,69,72,73
F. Klos,31,Germany,DSC Arminia Bielefeld,74,74,5000000,4,2,ST,63,74,55,62,38,84
A. Nyom,31,Cameroon,Getafe CF,74,74,4100000,3,3,SUB,70,47,62,65,75,82
M. Zeegelaar,28,Netherlands,Watford,74,74,4800000,3,3,RES,70,62,67,73,73,74
C. Clemens,27,Germany,1. FC Köln,74,74,6000000,3,3,SUB,77,69,72,72,51,68
J. Larsen,28,Denmark,Udinese,74,74,4800000,3,3,RM,76,55,63,69,72,76
J. Obi,28,Nigeria,Chievo Verona,74,74,5500000,3,3,RCM,76,68,71,78,72,71
D. Sakho,29,Senegal,Stade Rennais FC,74,74,5500000,3,3,SUB,71,73,58,71,32,72
C. Hourihane,28,Republic of Ireland,Aston Villa,74,74,5500000,4,3,CDM,65,69,75,69,65,74
S. Ilsanker,30,Austria,RB Leipzig,74,74,4600000,3,2,RES,58,53,57,52,76,82
F. Hanin,29,France,Vitória Guimarães,74,74,4600000,3,3,SUB,85,44,69,74,69,68
M. Leckie,28,Australia,Hertha BSC,74,74,5500000,4,3,RM,88,68,66,74,55,74
Iñigo Pérez,31,Spain,CA Osasuna,74,74,4300000,3,2,SUB,64,63,77,66,70,72
Anselmo,30,Brazil,Al Wehda,74,74,4600000,2,3,LDM,67,63,64,66,73,79
J. Toornstra,30,Netherlands,Feyenoord,74,74,5500000,2,3,SUB,65,75,75,71,58,74
Leandro Damião,29,Brazil,Kawasaki Frontale,74,74,5500000,2,3,SUB,59,76,56,69,35,78
M. Linnes,27,Norway,Galatasaray SK,74,74,5000000,3,3,SUB,87,57,65,74,69,66
R. Amalfitano,29,France,Dijon FCO,74,74,5500000,4,3,LCM,60,59,70,72,68,59
G. Tzavellas,31,Greece,Alanyaspor,74,74,4200000,3,2,SUB,67,62,66,62,73,77
B. Dabo,27,Burkina Faso,Fiorentina,74,74,6000000,3,4,SUB,64,67,71,73,73,78
I. Nestorovski,29,FYR Macedonia,Udinese,74,74,5500000,4,3,SUB,71,74,53,71,35,79
T. Klose,31,Switzerland,Norwich City,74,74,4200000,3,2,SUB,37,38,54,37,75,75
Ilie Sánchez,28,Spain,Sporting Kansas City,74,74,5000000,3,3,CDM,55,47,67,71,69,76
A. Christiansen,29,Denmark,Malmö FF,74,74,5500000,3,3,RCM,74,70,70,75,63,71
Alan Patrick,28,Brazil,Shakhtar Donetsk,74,74,5500000,3,4,LDM,75,71,73,78,53,59
L. Hinterseer,28,Austria,Hamburger SV,74,74,6000000,3,3,ST,63,74,65,69,44,75
Camilo,30,Brazil,Club Tijuana,74,74,5500000,4,4,RS,78,74,67,76,34,65
Hong Jeong Ho,29,Korea Republic,Jeonbuk Hyundai Motors,74,74,4700000,4,2,LCB,80,47,53,55,71,79
N. De Préville,28,France,FC Girondins de Bordeaux,74,74,6000000,3,3,LF,76,72,72,75,36,66
Diego,31,Brazil,Deportivo Toluca,74,74,4900000,2,3,SUB,71,73,76,75,43,63
L. Krejčí,26,Czech Republic,Bologna,74,74,6000000,2,4,SUB,78,68,75,76,50,57
C. Ciano,29,Italy,Frosinone,74,74,5500000,4,4,CAM,80,73,73,77,28,62
J. Sánchez Miño,29,Argentina,Independiente,74,74,4600000,2,4,LB,70,73,77,76,71,72
L. Griffiths,28,Scotland,Celtic,74,74,6000000,3,3,ST,79,74,64,71,24,70
T. Serero,29,South Africa,Vitesse,74,74,5500000,4,3,RCM,80,49,69,78,67,57
T. Bifouma,27,Congo,Yeni Malatyaspor,74,74,6000000,4,4,RM,93,71,63,77,29,70
M. Bakalorz,29,Germany,Hannover 96,74,74,4800000,4,2,RDM,64,66,62,66,74,80
Juan Carlos,28,Spain,SD Huesca,74,74,5500000,3,3,LCM,67,67,72,73,51,58
L. Advíncula,29,Peru,Rayo Vallecano,74,74,4600000,4,3,SUB,94,64,70,76,66,76
Y. Yotún,29,Peru,Cruz Azul,74,74,5500000,1,3,LDM,65,63,76,74,64,71
L. Melgarejo,28,Paraguay,Spartak Moscow,74,74,5500000,2,4,SUB,84,69,66,76,55,69
Diego Oliveira,29,Brazil,FC Tokyo,74,74,5500000,5,3,RS,75,72,64,70,39,74
Ewerton,30,Brazil,Hamburger SV,74,74,4600000,2,2,SUB,56,37,55,61,75,72
J. Kopic,29,Czech Republic,Viktoria Plzeň,74,74,5500000,3,3,LM,80,69,70,76,40,60
C. Atsu,27,Ghana,Newcastle United,74,74,6000000,3,3,SUB,86,67,68,77,34,45
H. Canteros,30,Argentina,MKE Ankaragücü,74,74,5000000,3,3,CAM,68,69,73,71,68,74
João Pereira,35,Portugal,Trabzonspor,74,74,1600000,3,3,RB,71,61,71,74,74,64
M. Morozyuk,31,Ukraine,Çaykur Rizespor,74,74,4100000,4,3,RB,75,62,75,70,69,50
B. Butko,28,Ukraine,Shakhtar Donetsk,74,74,4800000,3,3,RES,78,47,65,70,72,68
Pedro Henrique,29,Brazil,Kayserispor,74,74,5500000,4,3,LM,84,68,69,78,31,55
H. Gnohere,31,France,FCSB (Steaua),74,74,5000000,3,3,ST,65,73,53,64,27,84
P. Capelle,32,France,Angers SCO,74,74,4400000,4,3,SUB,70,70,74,74,69,70
Jozabed,28,Spain,RC Celta,74,74,5500000,3,3,SUB,59,71,73,72,57,64
R. Ghezzal,27,Algeria,Leicester City,74,74,6000000,3,4,SUB,72,68,74,78,28,58
P. De Blasis,31,Argentina,SD Eibar,74,74,4900000,4,3,SUB,76,72,70,79,56,55
A. Chumacero,28,Bolivia,Puebla FC,74,74,5500000,3,3,RB,72,68,73,74,64,74
A. Semenov,30,Russia,Russia,74,74,0,3,2,,53,40,58,59,74,74
R. Czichos,29,Germany,1. FC Köln,74,74,4700000,3,2,LCB,59,48,59,62,74,74
A. Hahn,28,Germany,FC Augsburg,74,74,5500000,4,3,RM,72,76,67,66,55,83
F. Niederlechner,28,Germany,FC Augsburg,74,74,6000000,4,3,SUB,70,75,57,69,35,77
D. Lazović,28,Serbia,Hellas Verona,74,74,5500000,4,3,LM,86,64,71,76,47,47
M. Pavlović,29,Croatia,Angers SCO,74,74,4700000,3,2,SUB,31,60,50,52,72,84
F. Bachirou,29,Comoros,Malmö FF,74,74,4800000,3,3,CM,74,42,64,77,70,75
D. Rodríguez,29,Uruguay,Defensa y Justicia,74,74,4800000,3,2,SUB,64,57,68,66,73,74
R. Pérez,29,Colombia,Junior FC,74,74,4700000,3,2,LCB,56,38,41,58,73,78
D. Bocanegra,32,Colombia,Atlético Nacional,74,74,3600000,2,2,RCB,71,55,69,65,73,76
F. Pardo,28,Colombia,Deportivo Toluca,74,74,5500000,4,3,LS,81,75,71,74,38,80
W. Morelo,32,Colombia,Club Atlético Colón,74,74,4500000,3,3,SUB,79,74,61,73,42,67
A. Ricaurte,27,Colombia,Independiente Medellín,74,74,6000000,3,3,CAM,68,59,77,71,64,74
P. Goltz,34,Argentina,Boca Juniors,74,74,2100000,3,2,SUB,51,56,62,58,72,80
D. González,31,Argentina,Racing Club,74,74,4800000,3,3,SUB,68,65,70,70,68,82
S. Romero,30,Argentina,Independiente,74,74,5500000,3,3,ST,68,74,68,74,38,66
O. Opazo,28,Chile,Colo-Colo,74,74,4800000,5,3,LB,89,67,68,73,67,75
L. Villafañez,27,Argentina,Monarcas Morelia,74,74,6000000,3,3,CAM,77,67,73,77,34,50
B. Alemán,29,Uruguay,Gimnasia y Esgrima La Plata,74,74,5500000,3,3,RES,74,72,75,74,66,71
D. Braghieri,32,Argentina,Club Tijuana,74,74,3600000,2,2,RCB,60,49,50,56,72,79
E. Kalinski,32,Argentina,Estudiantes de La Plata,74,74,3700000,4,3,CDM,65,51,71,70,70,82
E. Puch,32,Chile,Universidad Católica,74,74,4400000,3,4,LW,85,70,66,78,43,63
C. Rius,30,Argentina,Rosario Central,74,74,5500000,3,3,RM,81,65,72,76,54,72
R. Botta,29,Argentina,San Lorenzo de Almagro,74,74,5500000,3,4,SUB,78,71,73,75,37,65
L. Zelarayán,27,Argentina,Tigres U.A.N.L.,74,74,6000000,3,3,SUB,73,67,74,77,45,62
D. Kreilach,30,Croatia,Real Salt Lake,74,74,5000000,3,3,ST,51,72,69,70,66,83
Idris,34,Senegal,Boavista FC,74,74,2200000,2,2,SUB,48,52,61,63,74,83
I. Slimani,31,Algeria,Leicester City,74,74,5000000,3,2,RES,51,73,64,66,46,79
A. Oyongo,28,Cameroon,Montpellier HSC,74,74,4800000,2,3,LWB,87,59,67,74,66,73
Edgar Méndez,28,Spain,Cruz Azul,74,74,5500000,2,3,SUB,79,71,70,70,43,77
A. Chávez,28,Argentina,Club Atlético Huracán,74,74,6000000,2,3,ST,75,75,65,70,36,81
S. Vilakazi,29,South Africa,South Africa,74,74,0,3,4,,76,69,69,74,49,62
S. Özbayraklı,29,Turkey,Galatasaray SK,74,74,4600000,2,3,SUB,81,60,69,73,69,73
P. Martinez,30,France,Nîmes Olympique,74,74,4600000,3,3,LCB,66,45,63,69,74,75
Eraso,29,Spain,CD Leganés,74,74,5500000,3,3,SUB,53,71,72,69,58,74
C. Mayada,28,Uruguay,Atlético de San Luis,74,74,4800000,3,3,RM,93,66,69,76,67,77
Sabin Merino,27,Spain,CD Leganés,74,74,6000000,3,4,SUB,72,72,70,75,56,59
